movie_id,title,year,genre,rating,votes,runtime_min,budget_usd,revenue_usd
1,The Hollow Line,2015,Action,8.3,7964,88,182650134,611378036
2,The Neon Line,1976,Thriller,8.0,3580,152,8123195,15874363
3,The Last Light,2003,Comedy,4.3,61724,94,58797847,258897322
4,The Silent River,1997,Animation,5.1,446282,178,12663638,39986031
5,The Iron River,1993,Thriller,7.4,415125,165,19671069,9679586
6,The Gold River,1981,Crime,4.8,10378,121,44662126,45485454
7,The Dark Star,2015,Action,7.6,3425,156,185727068,341741294
8,The Wild Light,1995,Documentary,8.5,15319,147,236248142,512691292
9,The Night War,1984,Animation,6.4,29307,149,116006828,487833433
10,The Silent Edge,2006,Documentary,7.5,604,176,183665285,214974516
11,The The Road,2008,Animation,6.5,908763,118,30944558,27423118
12,The Shadow Dream,2023,Animation,8.3,134870,156,137274717,231054205
13,The Hollow River,1975,Comedy,5.2,2722,178,83547695,62590596
14,The Wild Dream,2021,Drama,5.6,20917,172,143997222,328001383
15,The Red Rain,1991,Animation,4.6,371034,166,84675705,67426299
16,The Night Knight,2003,Comedy,6.2,4116,118,6646341,10922708
17,The Hollow Code,2020,Documentary,5.8,3189,160,131302462,100737088
18,The Broken Line,1990,Documentary,5.8,3516167,99,26320389,10537982
19,The Blue Mind,2021,Animation,8.4,37568,168,92080848,221761255
20,The Neon Knight,2003,Comedy,7.2,4856,134,68056907,12645966
21,The Silent Road,2023,Documentary,7.0,20688,126,243247663,97013712
22,The Blue Ocean,1993,Thriller,5.8,45,175,150187923,348227531
23,The Shadow House,1978,Animation,5.0,54306,149,128986942,179992036
24,The Last Line,1980,Crime,5.7,77,147,67092929,104278970
25,The Iron Rain,2011,Romance,3.3,616,105,72300353,56615081
26,The Fire Blood,2023,Comedy,6.0,57025,87,20665774,31789703
27,The Lost War,1990,Sci-Fi,5.9,1048183,153,217654241,638654018
28,The Gold World,1982,Documentary,7.1,4247,101,193632554,110325148
29,The Eternal Dream,1991,Horror,8.7,1945,110,12834450,23827547
30,The Iron Blood,2010,Action,5.0,56709,149,149317326,100906221
31,The Lost Light,1997,Action,6.8,202854,154,202186365,564692324
32,The Night Star,2005,Action,7.5,122,133,94860718,25013389
33,The Lost Edge,2017,Horror,6.9,2660,126,183406754,729216508
34,The Neon Mind,1997,Romance,7.7,69046,152,138284082,148534399
35,The Broken Game,2002,Horror,8.4,9422,90,194207562,1055052078
36,The Iron Light,2019,Animation,7.4,9863,128,179490634,1461757224
37,The Steel Heart,1975,Drama,6.2,266371,116,125819316,124831826
38,The Night Ocean,2017,Thriller,7.4,1164,156,167231556,47572017
39,The Wild Light,1987,Thriller,6.8,119559,155,155530480,37355194
40,The Steel Rain,1984,Action,6.8,931496,88,209955637,242517946
41,The Steel Line,2010,Animation,6.5,10381,160,143574628,385784025
42,The Steel Heart,2003,Thriller,9.2,19588,106,226448976,837948046
43,The Fire Mind,1992,Comedy,4.4,5587,144,22629900,13629853
44,The Hollow Knight,2001,Crime,7.3,11013,128,17714325,10044566
45,The Silver Star,1999,Documentary,3.2,7095,128,145477482,500486344
46,The Shadow Rain,1989,Drama,7.0,4843,124,91229086,517277749
47,The Shadow House,2014,Sci-Fi,3.5,56138,85,173536795,93374173
48,The Broken Road,1999,Comedy,5.9,7433,118,205341043,683377132
49,The Lost Code,2005,Thriller,8.2,232071,158,11806711,8054053
50,The Lost City,2004,Sci-Fi,6.7,414964,96,163643081,458323730
51,The Night Hour,1981,Sci-Fi,3.7,372343,123,107476114,368630619
52,The Red River,2018,Animation,5.0,32596,147,211087076,52841884
53,The Fire Line,2016,Drama,5.0,75843,121,171613577,803229983
54,The Hollow Road,2021,Romance,8.8,27267,153,217949325,208193527
55,The The Heart,1990,Romance,6.8,124454,134,153967849,281894420
56,The Gold Dream,1986,Action,6.0,20615,108,92359012,48895026
57,The Wild Rain,2008,Action,7.1,96418,172,65511464,222669425
58,The Neon World,1980,Romance,6.3,6732,106,83196555,175385392
59,The Storm Hour,2002,Animation,8.3,8683,114,68485660,17602734
60,The Steel Edge,2023,Sci-Fi,6.5,49367,169,130976068,69462184
61,The Fire Heart,1981,Comedy,7.1,11113,165,144380797,66210222
62,The Last Light,1975,Documentary,5.5,35558,131,92457553,531409132
63,The Steel Light,1979,Documentary,4.6,3118,128,163757154,340547599
64,The Lost Mind,2003,Thriller,5.5,4065,129,82974884,126953320
65,The Eternal River,1991,Thriller,6.1,34687,104,78337566,349461331
66,The Neon Star,1991,Drama,5.8,306779,159,216796787,1067563884
67,The Lost Rain,1992,Sci-Fi,6.7,4207,170,222255320,354504414
