order_id,customer_id,movie_id,quantity,price_usd,order_date,status
1,1733,122,1,9.48,2022-09-18,completed
2,1557,460,1,16.81,2019-11-07,completed
3,1737,4317,5,10.63,2018-02-10,completed
4,1082,3054,2,11.34,2018-12-16,completed
5,169,2036,2,24.39,2022-03-25,completed
6,1453,2218,2,7.4,2019-12-07,refunded
7,734,425,1,14.46,2019-10-25,completed
8,22,3967,1,15.29,2022-12-30,pending
9,306,3574,1,21.52,2018-06-17,completed
10,71,1184,2,20.76,2018-08-09,completed
11,1653,1174,1,22.11,2018-04-09,refunded
12,1351,3487,2,16.44,2021-12-29,refunded
13,642,3789,1,20.12,2020-06-06,pending
14,1609,3675,1,5.3,2018-02-25,refunded
15,1740,4877,1,13.47,2023-04-06,pending
16,919,4775,1,18.92,2022-10-11,completed
17,245,2840,1,5.15,2023-03-08,pending
18,161,4043,1,6.56,2019-04-13,completed
19,1733,3757,1,17.37,2021-04-25,completed
20,1419,3358,1,7.2,2020-04-18,completed
21,1039,4156,1,20.64,2022-12-21,completed
22,1646,3813,2,24.54,2020-05-12,completed
23,1332,3692,1,24.03,2019-11-30,completed
24,1827,3693,1,10.3,2019-02-05,pending
25,239,3922,5,8.18,2022-09-10,refunded
26,545,478,2,24.12,2019-07-07,completed
27,629,1697,1,8.65,2020-11-25,pending
28,686,2563,1,24.19,2018-04-26,pending
29,936,3708,1,11.27,2020-06-13,refunded
30,1491,2024,1,16.63,2022-09-22,completed
31,1697,4158,1,13.47,2020-11-30,completed
32,331,500,1,24.22,2019-02-22,pending
33,1504,3218,1,10.79,2020-06-30,completed
34,217,1004,1,12.86,2021-05-03,pending
35,367,4302,2,17.95,2018-10-01,completed
36,1172,3646,1,24.05,2022-05-16,completed
37,636,4383,1,17.86,2020-02-21,completed
38,198,1818,1,19.26,2020-12-28,refunded
39,270,2139,1,6.58,2018-09-10,completed
40,1546,4035,1,23.88,2022-05-01,refunded
41,688,1102,1,14.11,2021-11-17,completed
42,825,4343,1,13.45,2022-11-09,refunded
43,732,3420,1,9.99,2019-08-04,completed
44,1304,4746,1,6.23,2022-08-18,refunded
45,547,4777,3,8.86,2019-09-06,completed
46,850,4061,5,8.18,2018-06-11,completed
47,614,4983,1,22.0,2020-06-04,completed
48,154,2634,1,21.57,2022-12-29,completed
49,249,2032,5,24.52,2021-11-25,pending
50,171,2028,1,12.56,2023-02-23,completed
51,1644,4841,3,22.72,2018-12-12,pending
52,328,4725,1,14.7,2018-12-28,completed
53,1586,134,1,24.05,2022-04-27,completed
54,442,2998,1,17.83,2019-04-11,completed
55,834,3381,1,22.15,2019-08-12,pending
56,590,4955,1,16.2,2020-05-23,refunded
57,986,2287,1,8.74,2023-05-15,completed
58,680,3700,1,23.55,2023-02-03,completed
59,1951,2995,1,20.2,2020-06-10,pending
60,519,3897,1,14.12,2020-04-03,completed
61,534,566,3,8.47,2021-01-17,completed
62,980,4096,1,6.79,2021-04-14,pending
63,1993,2349,1,8.7,2023-04-21,pending
64,386,4773,1,23.79,2018-12-22,completed
65,1010,329,3,11.2,2021-04-12,completed
66,1984,2640,3,19.46,2019-07-10,refunded
67,1946,946,1,5.72,2019-04-21,completed
68,785,4552,1,5.86,2022-06-10,pending
69,372,2212,1,17.36,2021-05-14,refunded
70,1308,3587,1,14.63,2019-10-18,completed
71,261,4652,1,9.43,2018-07-27,pending
72,984,2790,2,6.01,2020-10-25,pending
73,616,960,1,17.95,2022-01-04,completed
74,1051,1503,1,21.51,2021-10-30,completed
75,137,4334,1,21.81,2022-01-25,completed
76,822,3702,1,5.35,2018-08-08,refunded
77,1233,1760,1,10.3,2019-05-04,pending
78,150,241,2,12.92,2020-10-17,completed
79,1906,3599,1,16.23,2018-03-16,pending
80,262,1122,1,12.98,2019-09-21,completed
81,704,2310,1,17.22,2023-06-17,completed
82,1260,167,2,14.51,2023-06-19,completed
83,1681,2535,1,24.66,2018-05-28,refunded
84,750,2967,1,16.83,2019-05-03,completed
85,922,4491,1,6.86,2023-05-15,refunded
86,1930,3978,1,21.78,2022-02-09,completed
87,491,1586,5,15.41,2021-05-08,completed
88,1356,4415,1,16.71,2021-05-01,completed
89,1861,1263,2,15.03,2018-09-11,completed
90,1344,4533,5,10.55,2021-08-29,completed
91,114,4062,1,20.07,2020-03-02,completed
92,1099,2069,1,24.17,2021-09-14,refunded
93,788,340,5,17.61,2019-03-13,completed
94,773,3883,5,16.85,2019-07-15,completed
95,586,3943,1,7.76,2023-01-23,refunded
96,587,3923,1,22.28,2021-08-07,completed
97,450,2497,2,8.16,2020-02-15,completed
98,1584,1777,1,7.99,2020-07-01,completed
99,769,822,1,22.78,2023-03-26,completed
100,1081,1755,1,10.43,2023-02-01,completed
101,1680,3739,1,17.45,2022-07-07,pending
102,1643,686,2,15.3,2018-06-20,pending
103,1454,1175,1,23.19,2021-09-12,completed
104,574,897,2,8.4,2020-06-14,completed
105,730,4936,1,8.21,2020-11-16,pending
106,467,1221,1,17.38,2021-04-20,refunded
107,1574,2145,2,5.71,2018-02-24,pending
108,361,1889,1,13.77,2020-01-24,completed
109,565,2864,1,20.39,2021-05-01,completed
110,582,2240,2,7.81,2021-05-14,refunded
111,1888,1823,1,13.56,2019-01-21,completed
112,1623,1894,1,21.01,2020-12-27,completed
113,416,3975,2,12.43,2021-11-13,refunded
114,1307,1794,1,11.8,2019-04-20,pending
115,402,626,1,23.16,2020-03-08,completed
116,442,933,1,23.34,2019-06-01,completed
117,1922,3124,2,17.3,2020-06-29,completed
118,1719,3631,1,14.54,2022-08-09,refunded
119,192,2963,2,6.73,2021-01-10,completed
120,1861,1885,2,9.52,2020-01-20,refunded
121,342,3047,1,7.44,2019-11-18,pending
122,625,928,2,6.09,2022-02-04,completed
123,1493,2134,1,22.9,2020-06-22,completed
124,1684,1138,1,18.23,2021-09-03,completed
125,271,263,1,23.84,2019-04-13,pending
126,359,1033,2,20.48,2018-03-22,refunded
127,1104,3227,2,22.41,2021-02-13,refunded
128,863,1888,1,14.6,2021-07-03,pending
129,1990,3385,2,15.87,2021-01-10,refunded
130,1644,1871,3,19.97,2020-11-09,refunded
131,641,3517,1,6.96,2018-12-13,pending
132,1166,2720,1,24.22,2018-06-26,completed
133,264,4305,1,17.98,2020-12-13,completed
134,656,117,2,9.89,2023-03-28,refunded
135,756,1560,1,19.37,2021-05-27,completed
136,1738,4102,2,8.81,2021-11-08,completed
137,114,670,2,19.5,2022-03-29,completed
138,1736,3247,2,20.6,2019-02-17,completed
139,486,4920,2,12.83,2022-09-12,pending
140,145,801,2,12.54,2019-09-26,completed
141,152,2777,1,19.97,2019-08-24,completed
142,1894,3383,2,17.09,2018-10-29,completed
143,1274,3403,2,23.53,2021-05-03,refunded
144,1150,1240,1,5.37,2020-12-15,completed
145,8,2309,1,8.97,2018-11-25,refunded
146,83,106,2,15.07,2022-10-29,pending
147,627,1555,3,6.61,2021-11-22,completed
148,1270,3765,1,22.61,2022-08-20,completed
149,1981,2992,1,15.35,2021-08-14,pending
150,454,827,2,17.45,2018-01-17,completed
151,1789,2232,1,22.53,2022-08-04,completed
152,488,3449,1,5.66,2018-06-24,completed
153,1360,4031,1,24.75,2021-02-18,pending
154,1293,1695,2,8.42,2018-09-16,completed
155,81,798,5,20.13,2018-01-12,refunded
156,1992,386,3,16.98,2022-07-13,pending
157,620,4616,1,5.51,2023-04-06,completed
158,1433,276,1,18.45,2023-05-03,refunded
159,1707,3321,2,13.52,2022-08-15,completed
160,211,272,1,24.09,2019-11-16,completed
161,158,4890,2,20.79,2021-12-22,completed
162,286,1102,3,12.66,2022-03-03,completed
163,337,3874,1,22.76,2020-09-13,completed
164,1319,2836,1,23.86,2022-07-20,completed
165,402,1870,2,24.51,2020-07-27,completed
166,81,4765,2,23.14,2022-08-03,completed
167,1054,1820,1,23.67,2022-05-16,completed
168,1530,4761,3,9.27,2020-04-30,completed
169,1636,603,1,13.72,2020-11-15,refunded
170,1938,3142,1,5.61,2020-09-20,completed
171,953,1333,1,22.73,2019-10-10,refunded
172,763,4467,1,9.81,2019-03-04,pending
173,244,3637,2,7.04,2019-03-10,pending
174,1259,4566,1,5.11,2021-03-11,completed
175,1687,3619,1,7.52,2021-10-09,completed
176,1910,1902,2,22.08,2022-10-19,completed
177,1085,3518,1,10.46,2022-11-04,completed
178,1345,1076,1,10.82,2022-04-09,completed
179,296,3423,1,5.32,2019-06-14,completed
180,1952,1157,1,5.1,2020-02-20,refunded
181,1606,2765,2,14.03,2018-01-26,refunded
182,222,1240,1,7.48,2019-06-13,completed
183,619,1413,1,15.82,2019-04-26,pending
184,1099,4194,3,22.66,2021-11-30,pending
185,55,2040,2,13.7,2020-04-23,completed
186,799,3539,3,5.2,2023-05-05,completed
187,1692,3215,2,19.62,2020-08-31,completed
188,1522,4583,1,17.59,2018-07-30,refunded
189,1694,3475,2,24.86,2021-12-06,refunded
190,235,1208,1,24.12,2022-06-22,refunded
191,1887,4520,1,18.81,2020-07-23,refunded
192,872,2475,2,16.26,2023-02-27,refunded
193,753,4900,2,17.76,2018-03-24,completed
194,1127,1312,1,23.81,2021-12-01,completed
195,841,2276,5,15.89,2019-11-12,completed
196,1646,2568,1,9.85,2019-08-27,refunded
197,1369,4576,5,5.81,2018-08-12,completed
198,1005,3166,1,12.23,2023-01-18,completed
199,1988,4279,1,14.69,2021-10-15,completed
200,355,379,3,13.38,2020-01-21,completed
201,1956,2565,1,18.1,2021-07-27,completed
202,692,3894,1,20.9,2020-07-19,pending
203,1128,1581,3,21.13,2018-04-08,completed
204,1478,402,1,10.36,2019-02-16,completed
205,1886,3980,1,21.79,2022-01-19,completed
206,1305,755,1,6.77,2020-01-09,completed
207,370,2017,1,11.17,2022-10-19,pending
208,1254,2776,1,5.19,2022-06-30,refunded
209,1708,1322,1,16.13,2018-04-15,refunded
210,410,581,1,12.32,2019-07-19,pending
211,111,3539,1,22.84,2020-02-21,completed
212,1446,3547,1,17.23,2021-11-01,completed
213,1363,3456,1,12.97,2018-06-24,completed
214,822,2616,3,9.99,2020-09-02,completed
215,989,305,1,20.69,2018-05-13,completed
216,245,2977,1,16.09,2020-06-17,pending
217,1010,488,2,5.11,2020-12-20,completed
218,556,2834,1,17.73,2019-02-25,completed
219,1282,3890,1,18.36,2020-11-20,completed
220,382,1591,3,21.62,2023-04-22,completed
221,1986,1755,1,24.27,2018-11-13,completed
222,424,4043,5,6.11,2021-07-30,completed
223,1291,4081,1,9.92,2019-05-02,refunded
224,859,4400,1,6.8,2022-09-06,pending
225,1317,3623,1,13.97,2021-05-26,completed
226,551,3150,2,5.43,2019-11-21,completed
227,1212,1938,2,16.67,2019-07-25,pending
228,386,2243,1,19.18,2018-05-19,refunded
229,175,2982,2,8.72,2021-02-19,refunded
230,1249,4599,3,13.32,2018-12-21,completed
231,1935,2658,1,11.65,2022-12-25,completed
232,1805,880,2,10.21,2019-12-08,completed
233,1068,313,1,5.49,2020-05-01,completed
234,545,109,1,6.75,2022-03-29,refunded
235,1797,641,3,16.3,2018-09-10,completed
236,1903,1620,1,9.0,2019-10-24,completed
237,1094,255,1,9.38,2018-12-31,refunded
